Local time,Open,High,Low,Close,Volume
11.11.2020 00:00:00.000 GMT-0000,0.91500,0.91917,0.91380,0.91665,68677.7188
12.11.2020 00:00:00.000 GMT-0000,0.91665,0.91703,0.91311,0.91481,65050.6602
13.11.2020 00:00:00.000 GMT-0000,0.91483,0.91588,0.91232,0.91232,45792.4219
14.11.2020 00:00:00.000 GMT-0000,0.91232,0.91232,0.91232,0.91232,0
15.11.2020 00:00:00.000 GMT-0000,0.91271,0.91305,0.91195,0.91211,1970.79
16.11.2020 00:00:00.000 GMT-0000,0.91210,0.91512,0.90974,0.91234,72310.5781
17.11.2020 00:00:00.000 GMT-0000,0.91234,0.91280,0.90879,0.91130,56642.5195
18.11.2020 00:00:00.000 GMT-0000,0.91128,0.91226,0.90914,0.91183,64359.0508
19.11.2020 00:00:00.000 GMT-0000,0.91184,0.91393,0.90995,0.91107,70429.9219
20.11.2020 00:00:00.000 GMT-0000,0.91107,0.91230,0.90913,0.91054,56546.9688
21.11.2020 00:00:00.000 GMT-0000,0.91054,0.91054,0.91054,0.91054,0
22.11.2020 00:00:00.000 GMT-0000,0.91051,0.91131,0.91051,0.91061,3377.75
23.11.2020 00:00:00.000 GMT-0000,0.91062,0.91476,0.90758,0.91243,71640.4531
24.11.2020 00:00:00.000 GMT-0000,0.91239,0.91363,0.90975,0.91091,68955.7891
25.11.2020 00:00:00.000 GMT-0000,0.91090,0.91388,0.90777,0.90818,81960.7813
26.11.2020 00:00:00.000 GMT-0000,0.90816,0.90932,0.90585,0.90649,55493.2305
27.11.2020 00:00:00.000 GMT-0000,0.90655,0.90825,0.90389,0.90389,59352.8789
28.11.2020 00:00:00.000 GMT-0000,0.90389,0.90389,0.90389,0.90389,0
29.11.2020 00:00:00.000 GMT-0000,0.90391,0.90461,0.90374,0.90414,1668.09
30.11.2020 00:00:00.000 GMT-0000,0.90414,0.90925,0.90189,0.90820,70603.2422
01.12.2020 00:00:00.000 GMT-0000,0.90820,0.90835,0.89924,0.89952,69338.6328
02.12.2020 00:00:00.000 GMT-0000,0.89951,0.90130,0.89421,0.89462,72611.8516
03.12.2020 00:00:00.000 GMT-0000,0.89462,0.89535,0.88912,0.89086,60686.3008
04.12.2020 00:00:00.000 GMT-0000,0.89086,0.89228,0.88852,0.89168,60480.9102
05.12.2020 00:00:00.000 GMT-0000,0.89168,0.89168,0.89168,0.89168,0
06.12.2020 00:00:00.000 GMT-0000,0.89064,0.89186,0.89023,0.89185,3846.49
07.12.2020 00:00:00.000 GMT-0000,0.89188,0.89463,0.88752,0.89082,60289.7383
08.12.2020 00:00:00.000 GMT-0000,0.89085,0.89139,0.88812,0.88870,57151.6719
09.12.2020 00:00:00.000 GMT-0000,0.88870,0.89141,0.88705,0.88946,54178.3711
10.12.2020 00:00:00.000 GMT-0000,0.88942,0.89012,0.88518,0.88593,69631.6875
11.12.2020 00:00:00.000 GMT-0000,0.88592,0.89089,0.88511,0.88947,56078.6719
12.12.2020 00:00:00.000 GMT-0000,0.88947,0.88947,0.88947,0.88947,0
13.12.2020 00:00:00.000 GMT-0000,0.88860,0.88884,0.88795,0.88850,2022.9
14.12.2020 00:00:00.000 GMT-0000,0.88851,0.88952,0.88499,0.88668,54694.4102
15.12.2020 00:00:00.000 GMT-0000,0.88667,0.88802,0.88500,0.88551,57226.6992
16.12.2020 00:00:00.000 GMT-0000,0.88553,0.88919,0.88257,0.88535,72897.6484
17.12.2020 00:00:00.000 GMT-0000,0.88537,0.88577,0.88220,0.88476,57680.7383
18.12.2020 00:00:00.000 GMT-0000,0.88476,0.88678,0.88235,0.88235,60165.6797
19.12.2020 00:00:00.000 GMT-0000,0.88235,0.88235,0.88235,0.88235,0
20.12.2020 00:00:00.000 GMT-0000,0.88478,0.88581,0.88397,0.88575,1936.72
21.12.2020 00:00:00.000 GMT-0000,0.88575,0.89189,0.88415,0.88556,97522.6484
22.12.2020 00:00:00.000 GMT-0000,0.88557,0.89045,0.88448,0.88777,68631.3438
23.12.2020 00:00:00.000 GMT-0000,0.88776,0.89108,0.88671,0.88775,73107.4688
24.12.2020 00:00:00.000 GMT-0000,0.88776,0.89180,0.88682,0.89030,48631.4414
25.12.2020 00:00:00.000 GMT-0000,0.89058,0.89111,0.88853,0.88877,1817.15
26.12.2020 00:00:00.000 GMT-0000,0.88877,0.88877,0.88877,0.88877,0
27.12.2020 00:00:00.000 GMT-0000,0.88908,0.89081,0.88824,0.88955,2005.49
28.12.2020 00:00:00.000 GMT-0000,0.88950,0.89185,0.88758,0.88831,57387.3281
29.12.2020 00:00:00.000 GMT-0000,0.88832,0.88840,0.88302,0.88411,59653.5
30.12.2020 00:00:00.000 GMT-0000,0.88411,0.88544,0.88109,0.88163,66111.6563
31.12.2020 00:00:00.000 GMT-0000,0.88162,0.88580,0.87938,0.88468,61208.4688
01.01.2021 00:00:00.000 GMT-0000,0.88468,0.88468,0.88468,0.88468,0
02.01.2021 00:00:00.000 GMT-0000,0.88468,0.88468,0.88468,0.88468,0
03.01.2021 00:00:00.000 GMT-0000,0.88301,0.88422,0.88250,0.88314,2768.8799
04.01.2021 00:00:00.000 GMT-0000,0.88312,0.88453,0.87842,0.88123,68775.2813
05.01.2021 00:00:00.000 GMT-0000,0.88123,0.88163,0.87755,0.87818,63568.0781
06.01.2021 00:00:00.000 GMT-0000,0.87816,0.88211,0.87572,0.87809,95660.2188
07.01.2021 00:00:00.000 GMT-0000,0.87809,0.88604,0.87742,0.88516,83707.9922
08.01.2021 00:00:00.000 GMT-0000,0.88516,0.88842,0.88220,0.88495,96566.8281
09.01.2021 00:00:00.000 GMT-0000,0.88495,0.88495,0.88495,0.88495,0
10.01.2021 00:00:00.000 GMT-0000,0.88563,0.88783,0.88408,0.88755,3208.7
11.01.2021 00:00:00.000 GMT-0000,0.88756,0.89200,0.88683,0.88963,76049.1094
12.01.2021 00:00:00.000 GMT-0000,0.88963,0.89158,0.88604,0.88609,65862.0938
13.01.2021 00:00:00.000 GMT-0000,0.88608,0.88890,0.88490,0.88709,63884.7813
14.01.2021 00:00:00.000 GMT-0000,0.88708,0.89170,0.88555,0.88834,77892.4766
15.01.2021 00:00:00.000 GMT-0000,0.88837,0.89145,0.88690,0.89037,60455.7305
16.01.2021 00:00:00.000 GMT-0000,0.89037,0.89037,0.89037,0.89037,0
17.01.2021 00:00:00.000 GMT-0000,0.89013,0.89258,0.89013,0.89248,2477.6599
18.01.2021 00:00:00.000 GMT-0000,0.89248,0.89249,0.88978,0.89088,51380.3711
19.01.2021 00:00:00.000 GMT-0000,0.89089,0.89165,0.88638,0.88804,54202.4609
20.01.2021 00:00:00.000 GMT-0000,0.88802,0.89202,0.88667,0.88934,59071.7109
21.01.2021 00:00:00.000 GMT-0000,0.88933,0.88991,0.88461,0.88536,60283.1289
22.01.2021 00:00:00.000 GMT-0000,0.88534,0.88661,0.88381,0.88506,54960.4414
23.01.2021 00:00:00.000 GMT-0000,0.88506,0.88506,0.88506,0.88506,0
24.01.2021 00:00:00.000 GMT-0000,0.88473,0.88568,0.88473,0.88558,2212.0901
25.01.2021 00:00:00.000 GMT-0000,0.88555,0.88926,0.88475,0.88803,57656.9883
26.01.2021 00:00:00.000 GMT-0000,0.88804,0.88956,0.88605,0.88660,52155.9883
27.01.2021 00:00:00.000 GMT-0000,0.88659,0.89172,0.88611,0.88921,80104.0078
28.01.2021 00:00:00.000 GMT-0000,0.88920,0.89183,0.88694,0.88855,77251.5078
29.01.2021 00:00:00.000 GMT-0000,0.88856,0.89114,0.88742,0.89003,82409.1484
30.01.2021 00:00:00.000 GMT-0000,0.89003,0.89003,0.89003,0.89003,0
31.01.2021 00:00:00.000 GMT-0000,0.89005,0.89191,0.88938,0.89146,3029.8601
01.02.2021 00:00:00.000 GMT-0000,0.89146,0.89724,0.89056,0.89652,72962.2109
